"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"2183",834.516634760922,1018.79,510629,280.235900878906,939
"2184",834.516634760922,1018.79,510629,297.038452148438,291
"2185",834.516634760922,1018.79,510629,391.225219726562,448
"2186",834.516634760922,1018.79,510629,392.226135253906,959
"2187",834.516634760922,1018.79,510629,410.238067626953,116
"2188",834.516634760922,1018.79,510629,415.225830078125,233
"2189",834.516634760922,1018.79,510629,416.225250244141,140
"2190",834.516634760922,1018.79,510629,553.274047851562,520
"2191",834.516634760922,1018.79,510629,554.281311035156,1246
"2192",834.516634760922,1018.79,510629,571.284545898438,128
"2193",834.516634760922,1018.79,510629,572.294555664062,175
"2194",834.516634760922,1018.79,510629,577.27294921875,198
"2195",834.516634760922,1018.79,510629,578.281433105469,256
"2196",834.516634760922,1018.79,510629,831.846496582031,266
"2197",834.516634760922,1018.79,510629,833.521850585938,175
"2198",834.516634760922,1018.79,510629,834.390747070312,159
"2199",834.516634760922,1018.79,510629,834.521362304688,84703
"2200",834.516634760922,1018.79,510629,835.525512695312,105
"2201",650.432978831181,1050.59,2538,125.000282287598,116
"2202",650.432978831181,1050.59,2538,503.344512939453,186
"2203",769.551546099221,1022.59,5050,255.231567382812,163
"2204",769.551546099221,1022.59,5050,303.232971191406,303
"2205",769.551546099221,1022.59,5050,305.250946044922,163
"2206",769.551546099221,1022.59,5050,306.248840332031,116
"2207",769.551546099221,1022.59,5050,769.499877929688,1093
"2208",769.551546099221,1022.59,5050,769.562561035156,739
"2209",769.551546099221,1022.59,5050,769.625244140625,106
"2210",865.558363617401,1040.43,8744,327.230255126953,140
"2211",865.558363617401,1040.43,8744,790.538024902344,175
"2212",865.558363617401,1040.43,8744,791.539245605469,198
"2213",865.558363617401,1040.43,8744,804.548400878906,140
"2214",865.558363617401,1040.43,8744,865.561096191406,899
"2215",733.545391118628,1042.96,4231,673.528594970703,984
"2216",733.545391118628,1042.96,4231,733.546997070312,257.5
"2217",682.424252695078,1053.13,1688,561.355224609375,116
"2218",928.58541977378,1040.43,5641,808.552001953125,151
"2219",928.58541977378,1040.43,5641,928.583618164062,325
"2220",911.555686896677,1037.9,89335,241.007514953613,122.5
"2221",911.555686896677,1037.9,89335,283.262756347656,134
"2222",911.555686896677,1037.9,89335,581.306915283203,104.5
"2223",911.555686896677,1037.9,89335,911.564788818359,6127.5
"2224",791.535390664652,1022.59,34904,125.000343322754,198
"2225",791.535390664652,1022.59,34904,283.242858886719,303
"2226",791.535390664652,1022.59,34904,283.264251708984,581
"2227",791.535390664652,1022.59,34904,284.247009277344,286
"2228",791.535390664652,1022.59,34904,284.266082763672,491
"2229",791.535390664652,1022.59,34904,327.230682373047,839
"2230",791.535390664652,1022.59,34904,328.235717773438,858
"2231",791.535390664652,1022.59,34904,480.308227539062,175
"2232",791.535390664652,1022.59,34904,481.308715820312,210
"2233",791.535390664652,1022.59,34904,644.503845214844,1288
"2234",791.535390664652,1022.59,34904,670.52099609375,428
"2235",791.535390664652,1022.59,34904,729.595275878906,330
"2236",791.535390664652,1022.59,34904,791.544555664062,6230
"2237",778.53722022291,1056.96,5359,255.235809326172,117
"2238",778.53722022291,1056.96,5359,303.235107421875,303
"2239",778.53722022291,1056.96,5359,343.223480224609,117
"2240",778.53722022291,1056.96,5359,631.4873046875,140
"2241",778.53722022291,1056.96,5359,657.496520996094,117
"2242",778.53722022291,1056.96,5359,778.534423828125,774
"2243",778.53722022291,1056.96,5359,778.573791503906,473
"2244",719.459180007237,1045.5,6101,152.991851806641,116
"2245",719.459180007237,1045.5,6101,255.233291625977,303
"2246",719.459180007237,1045.5,6101,327.230072021484,116
"2247",719.459180007237,1045.5,6101,391.219482421875,326
"2248",719.459180007237,1045.5,6101,409.239959716797,186
"2249",719.459180007237,1045.5,6101,719.464538574219,782
"2250",926.587958175808,1044.23,5359,121.030166625977,326
"2251",926.587958175808,1044.23,5359,327.235382080078,116
"2252",926.587958175808,1044.23,5359,790.538330078125,956
"2253",926.587958175808,1044.23,5359,926.59228515625,1027
"2254",795.55808992173,1045.5,5570,281.246490478516,163
"2255",795.55808992173,1045.5,5570,795.554260253906,1160
"2256",635.521842224633,1044.23,2387,561.488220214844,210
"2257",635.521842224633,1044.23,2387,635.529479980469,349
"2258",773.52887028135,1051.86,13501,279.229782104492,244.5
"2259",773.52887028135,1051.86,13501,283.260635375977,128
"2260",773.52887028135,1051.86,13501,773.532928466797,1299
"2261",270.250316079265,1036.64,8744,270.248504638672,1122
"2262",379.354876644169,1051.86,2538,283.264007568359,303
"2263",379.354876644169,1051.86,2538,379.358154296875,517
"2264",641.531309344551,1065.89,5641,283.260269165039,116
"2265",837.534699344756,1035.35,68786,222.997512817383,117
"2266",837.534699344756,1035.35,68786,241.007659912109,448
"2267",837.534699344756,1035.35,68786,242.013107299805,164
"2268",837.534699344756,1035.35,68786,243.016235351562,117
"2269",837.534699344756,1035.35,68786,255.229141235352,280
"2270",837.534699344756,1035.35,68786,256.234405517578,210
"2271",837.534699344756,1035.35,68786,257.237091064453,117
"2272",837.534699344756,1035.35,68786,281.246887207031,140
"2273",837.534699344756,1035.35,68786,282.249877929688,187
"2274",837.534699344756,1035.35,68786,283.257019042969,117
"2275",837.534699344756,1035.35,68786,391.220062255859,117
"2276",837.534699344756,1035.35,68786,392.223754882812,140
"2277",837.534699344756,1035.35,68786,393.225952148438,163
"2278",837.534699344756,1035.35,68786,553.274658203125,163
"2279",837.534699344756,1035.35,68786,554.278564453125,187
"2280",837.534699344756,1035.35,68786,555.280029296875,187
"2281",837.534699344756,1035.35,68786,790.53515625,140
"2282",837.534699344756,1035.35,68786,834.840454101562,140
"2283",837.534699344756,1035.35,68786,836.531066894531,163
"2284",837.534699344756,1035.35,68786,837.54052734375,32261
"2285",837.534699344756,1035.35,68786,838.538330078125,141
"2286",763.563783203709,1021.32,1974,255.233596801758,105
"2287",763.563783203709,1021.32,1974,256.233200073242,116.5
"2288",763.563783203709,1021.32,1974,327.233047485352,175
"2289",763.563783203709,1021.32,1974,328.234222412109,163
"2290",763.563783203709,1021.32,1974,717.572174072266,111
"2291",763.563783203709,1021.32,1974,763.509735107422,1007.5
"2292",353.33954698853,1042.96,4231,353.341064453125,691
"2293",609.503910149005,1044.23,3979,517.459350585938,116
"2294",609.503910149005,1044.23,3979,535.476623535156,332
"2295",609.503910149005,1044.23,3979,609.505615234375,573
"2296",525.29750347754,1069.73,3385,166.991546630859,655
"2297",632.476658159694,1071,2539,632.489013671875,601
