"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7531",841.565400978302,841.552897135417,841.586517333984,1011.13,1003.26,1016.05,17528.203076923,17451.0695384615,1871,191,1
"CP7532",841.574333058018,841.558874511719,841.58359781901,1033.77,1027.86,1038.69,22052.833636364,21986.6721818185,2714,277,1
"CP7533",841.575870820331,841.551281738281,841.596789550781,1057.39,1053.45,1063.29,27352.2479999998,27291.6335999998,4070,415,1
"CP7534",841.569125273502,841.530558268229,841.585708618164,1043.61,1038.69,1053.45,62599.128,60743.5851428571,7123,34,1
"CP7535",841.547051742351,841.494415283203,841.59260559082,1146.96,1075.11,1170.59,206906.144329897,196177.651546392,4926,23,1
"CP7536",841.603300731514,841.585388183594,841.62754313151,1043.61,1038.69,1053.45,63436.512,63305.8368,7801,378,1
"CP7537",856.539412606802,856.506561279297,856.559051513672,1105.62,1096.76,1111.53,76385.5166666666,76316.1961333332,6481,848,1
"CP7538",856.550726058287,856.509826660156,856.584411621094,1060.34,1053.45,1070.18,33655.8394117647,33565.4974117648,3375,306,1
"CP7539",856.545196945209,856.519775390625,856.570281982422,1019.01,1013.1,1025.9,26751.0153846155,26680.713846154,3621,409,1
"CP7540",856.567909452209,856.542012532552,856.599945068359,1042.62,1036.72,1047.55,18171.7554545453,18111.5012727271,2374,268,1
"CP7541",856.529113522752,856.4990234375,856.56640625,1089.87,1081.01,1096.76,57044.53125,56959.1859375,5014,524,1
"CP7542",856.560426713696,856.537811279297,856.582946777344,1032.78,1025.9,1036.72,16442.4654545454,16382.2669090908,2057,232,1
"CP7543",858.641854282077,858.617980957031,858.67451171875,1021.96,1015.07,1027.86,32975.5715384612,32880.5319999996,4469,365,1
"CP7544",858.61955400912,858.60009765625,858.655075073242,1041.64,1036.72,1047.55,16629.9572727272,16548.4369090908,3052,249,1
"CP7545",858.61212618845,858.604476928711,858.636169433594,1031.8,1027.86,1036.72,16134.0600000002,16066.1333333336,2713,221,1
"CP7546",858.614577210935,858.602978515625,858.628982543945,1067.23,1063.29,1073.14,29447.5600000004,29372.7985000004,3936,321,1
"CP7547",858.613604836592,858.577484130859,858.651224772135,1149.92,1135.15,1167.64,31094.8990909091,30863.9247272727,2075,169,1
"CP7548",863.566971717021,863.520629882812,863.606323242188,1065.26,1060.34,1071.17,2097829.08818185,2097799.55181821,600646,102260,1
"CP7549",863.567425031941,863.498779296875,863.601623535156,1147.95,1084.95,1170.59,65869.9567816091,65653.3958620689,1899,245,1
"CP7550",863.540485425698,863.534454345703,863.593994140625,1041.64,1035.74,1046.56,638277.701818178,638248.192727269,233784,36832,1
