,exid,precursor_mz,precursor_rt,precursor_intensity,mz,intensity
1,388,537.165161819953,126.411,1482,89.06409968194085,163.0
2,388,537.165161819953,126.411,1482,136.06011465851213,421.0
3,388,537.165161819953,126.411,1482,147.06306280623684,447.0
4,388,537.165161819953,126.411,1482,149.0472395856854,233.0
5,388,537.165161819953,126.411,1482,221.09164532717998,209.0
6,388,537.165161819953,126.411,1482,268.1105521479441,279.0
7,388,537.165161819953,126.411,1482,281.0546714203467,1513.0
8,388,537.165161819953,126.411,1482,282.05590462777883,473.0
9,388,537.165161819953,126.411,1482,283.04230525195374,305.0
10,388,537.165161819953,126.411,1482,299.0661986282799,396.0
11,388,537.165161819953,126.411,1482,326.9664609018881,186.0
12,388,537.165161819953,126.411,1482,341.02092039073443,163.0
13,388,537.165161819953,126.411,1482,415.03929725461643,256.0
14,388,537.165161819953,126.411,1482,417.0217128565391,186.0
15,388,537.165161819953,126.411,1482,503.10752967951606,257.0
16,388,537.165161819953,126.411,1482,519.1357192327134,186.0
17,388,537.165161819953,126.411,1482,536.1793002794568,305.0
0,389,537.165431326576,163.091,1478,73.04966809765999,256.0
1,389,537.165431326576,163.091,1478,147.0646571279424,380.0
2,389,537.165431326576,163.091,1478,149.04367968124356,233.0
3,389,537.165431326576,163.091,1478,223.06338717664542,163.0
4,389,537.165431326576,163.091,1478,281.0569958727218,1579.0
5,389,537.165431326576,163.091,1478,282.05349581772066,636.0
6,389,537.165431326576,163.091,1478,283.05413247638705,427.0
7,389,537.165431326576,163.091,1478,299.061292146036,279.0
8,389,537.165431326576,163.091,1478,326.9664541893015,279.0
9,389,537.165431326576,163.091,1478,341.0183195601159,233.0
10,389,537.165431326576,163.091,1478,415.03936195378407,328.0
11,389,537.165431326576,163.091,1478,503.1076723878274,352.0
12,389,537.165431326576,163.091,1478,536.15007647321,258.0
0,390,537.164469326142,205.88400000000001,1247,73.04844371088156,303.0
1,390,537.164469326142,205.88400000000001,1247,89.05727185717669,186.0
2,390,537.164469326142,205.88400000000001,1247,147.06452159924328,660.0
3,390,537.164469326142,205.88400000000001,1247,149.0452629019455,239.0
4,390,537.164469326142,205.88400000000001,1247,221.08500492502498,186.0
5,390,537.164469326142,205.88400000000001,1247,281.0518836737303,1469.0
6,390,537.164469326142,205.88400000000001,1247,282.053111438752,545.0
7,390,537.164469326142,205.88400000000001,1247,283.05374615968475,281.0
8,390,537.164469326142,205.88400000000001,1247,299.05843524745296,186.0
9,390,537.164469326142,205.88400000000001,1247,326.96088047092593,209.0
10,390,537.164469326142,205.88400000000001,1247,341.02302936834593,186.0
11,390,537.164469326142,205.88400000000001,1247,415.02721763606394,352.0
12,390,537.164469326142,205.88400000000001,1247,503.11316996094456,308.0
13,390,537.164469326142,205.88400000000001,1247,504.1071778687751,192.0
14,390,537.164469326142,205.88400000000001,1247,519.1542972716396,186.0
15,390,537.164469326142,205.88400000000001,1247,520.1479333642931,163.0
16,390,537.164469326142,205.88400000000001,1247,536.1557095917568,256.0
17,390,537.164469326142,205.88400000000001,1247,537.1752850641217,186.0
0,391,537.160305171473,245.62,1325,73.04722680753255,209.0
1,391,537.160305171473,245.62,1325,89.06124317745144,163.0
2,391,537.160305171473,245.62,1325,133.08488134106508,163.0
3,391,537.160305171473,245.62,1325,147.0661650113471,399.0
4,391,537.160305171473,245.62,1325,149.04691617056073,233.0
5,391,537.160305171473,245.62,1325,221.09116670540814,186.0
6,391,537.160305171473,245.62,1325,281.05169886222353,1211.0
7,391,537.160305171473,245.62,1325,282.0458185388614,435.0
8,391,537.160305171473,245.62,1325,283.05830606572357,279.0
9,391,537.160305171473,245.62,1325,299.05579437135594,212.0
10,391,537.160305171473,245.62,1325,326.9657544331434,233.0
11,391,537.160305171473,245.62,1325,327.20301501282535,163.0
12,391,537.160305171473,245.62,1325,341.01236882450326,256.0
13,391,537.160305171473,245.62,1325,415.0384013818535,236.0
14,391,537.160305171473,245.62,1325,416.0390870202462,163.0
15,391,537.160305171473,245.62,1325,503.1032804528983,258.0
16,391,537.160305171473,245.62,1325,519.1378136543643,209.0
17,391,537.160305171473,245.62,1325,536.1585458901575,233.0
18,391,537.160305171473,245.62,1325,537.1715846177418,163.0
0,392,130.711071335543,344.45099999999996,4183,30.03858870791974,189.0
1,392,130.711071335543,344.45099999999996,4183,39.028578126182836,484.0
2,392,130.711071335543,344.45099999999996,4183,43.022801066146286,14014.0
3,392,130.711071335543,344.45099999999996,4183,44.02414027842979,169.0
4,392,130.711071335543,344.45099999999996,4183,44.05315998811845,366.0
5,392,130.711071335543,344.45099999999996,4183,53.04169881489104,508.0
