"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP01801",148.042948641861,148.039169311523,148.044692993164,57.23,52.309,62.151,6821.4902,6784.68112,4558,545,1
"CP01802",190.053620170006,190.049606323242,190.055374145508,57.23,52.309,63.136,2454.77618181818,2411.02525909091,1470,95,1
"CP01803",203.050796882339,203.047653198242,203.055282592773,57.23,48.373,62.151,3835.20471428572,3715.6385934874,1023,22,1
"CP01804",216.08602979644,216.082183837891,216.088836669922,56.247,45.421,66.087,1681.81876190476,1631.45364889837,391,38,1
"CP01805",238.023221248596,238.017211914062,238.025512695312,57.23,52.309,62.151,1630.8194,1614.11612,640,47,1
"CP01806",240.021060375909,240.017272949219,240.02424621582,57.23,51.325,60.182,815.828111111111,800.813387301587,225,29,1
"CP01807",242.074725944715,242.074447631836,242.074859619141,57.23,55.262,60.182,1454.352,1449.52901408451,979,73,1
"CP01808",258.013445877447,258.010070800781,258.016815185547,57.23,55.262,63.136,942.9115,936.02175,327,48,1
"CP01809",260.006263253074,260.003723144531,260.011077880859,52.309,49.358,55.262,625.824,610.326,185,14,1
"CP01810",261.036237123996,261.030242919922,261.041259765625,56.247,52.309,60.182,747.935,741.046125,159,35,1
"CP01811",262.037022816529,262.035400390625,262.039764404297,57.23,51.325,63.136,1255.903,1149.604,443,11,1
"CP01812",266.104043541113,266.102569580078,266.105346679688,58.214,52.309,60.182,1238.02925,1218.10071875,547,41,1
"CP01813",276.999599890933,276.993896484375,277.001220703125,57.23,53.293,61.168,782.578125,723.085827464789,359,10,1
"CP01814",307.02861627612,307.02783203125,307.030395507812,57.23,55.262,63.136,1658.46125,1653.047875,1121,228,1
"CP01815",308.132093320265,308.129913330078,308.13525390625,47.389,43.453,55.262,5472.48741666667,5460.67841666667,858,322,1
"CP01816",326.00811869949,326.004791259766,326.010223388672,57.23,50.341,62.151,1525.45833333333,1514.31641727494,389,57,1
"CP01817",327.01171961548,327.005767822266,327.015380859375,57.23,51.325,62.151,963.514,932.075628681178,437,34,1
"CP01818",332.07645116291,332.072814941406,332.078002929688,57.23,52.309,62.151,2842.3696,2808.24101764706,1322,54,1
"CP01819",334.068032750544,334.063110351562,334.075622558594,57.23,53.293,60.182,475.341,460.821427565393,148,10,1
"CP01820",338.077369530821,338.076507568359,338.079528808594,49.358,46.405,53.293,2023.104,2001.7512,481,48,1
"CP01821",338.081260067857,338.076629638672,338.084808349609,57.23,53.293,62.151,1515.70222222222,1488.24242222222,398,40,1
"CP01822",340.097233327493,340.095062255859,340.100128173828,50.341,45.421,58.214,4969.58846153846,4954.23686153846,694,129,1
"CP01823",341.028949737549,341.022979736328,341.031372070312,57.23,52.309,63.136,696.865090909091,681.671247119078,211,24,1
"CP01824",343.121329888167,343.118560791016,343.124176025391,56.247,39.516,71.992,21267.8435151515,21016.4272464177,9808,142,1
"CP01825",111.947896325014,111.945274353027,111.948440551758,59.198,49.358,67.071,833.495055555556,794.526455555556,398,36,1
"CP01826",161.082176959152,161.079650878906,161.084854125977,58.214,54.277,61.168,586.719428571428,513.600639751553,171,6,1
"CP01827",164.042563029698,164.040374755859,164.043975830078,58.214,52.309,61.168,831.761666666667,824.038435897436,328,57,1
"CP01828",204.033267709153,204.031097412109,204.034805297852,58.214,52.309,61.168,816.996666666667,807.014694835681,375,39,1
"CP01829",215.03188111304,215.030944824219,215.033065795898,42.469,36.564,48.373,267652.953166667,267488.293803763,69825,1146,1
"CP01830",218.020219740546,218.017669677734,218.025985717773,57.23,49.358,62.151,2633.38984615385,2621.58092307692,716,218,1
"CP01831",220.044963287453,220.043258666992,220.045791625977,58.214,52.309,62.151,3304.9436,3283.7833,1043,157,1
"CP01832",221.046466978941,221.044097900391,221.050216674805,58.214,52.309,62.151,1022.5838,1004.11965352113,368,37,1
"CP01833",239.054047672077,239.051330566406,239.057495117188,57.23,51.325,67.071,1360.06075,1290.15975714286,372,27,1
"CP01834",260.037696581129,260.035369873047,260.038421630859,57.23,36.564,77.896,2239.80076190476,2226.02342857143,675,156,1
"CP01835",262.091433057598,262.089538574219,262.092590332031,58.214,55.262,63.136,474.4085,460.24355944056,143,17,1
"CP01836",311.098250211032,311.095397949219,311.100280761719,58.214,22.785,87.739,5456.136,5382.21295959596,3634,178,1
"CP01837",319.011749529907,319.008697509766,319.018402099609,58.214,53.293,62.151,746.040444444445,725.020761460762,286,24,1
"CP01838",323.98317500043,323.980041503906,323.987884521484,51.325,48.373,55.262,965.444142857143,958.146905820106,238,39,1
"CP01839",323.987017830948,323.982879638672,323.990234375,58.214,55.262,63.136,730.3135,721.972892592593,225,37,1
"CP01840",326.085552830925,326.083862304688,326.088775634766,58.214,52.309,62.151,6524.2618,6500.1003830986,3043,195,1
"CP01841",348.002444054138,347.999847412109,348.005706787109,52.309,49.358,57.23,2540.688,2532.816,650,160,1
